"Countries by Continent","Cont:Poverty Alleviation:Economic Equality:Infrastructure Index:Human Rights Index:Government Legitimacy:Literacy Rate"
Slovenia,3:65:56:74:69:76:100
Spain,3:50:56:73:59:64:98
Sweden,3:84:81:78:87:84:99
Switzerland,3:78:74:80:74:87:99
Ukraine,3:43:44:55:42:34:100
"United Kingdom",3:63:61:73:66:75:99
"Europe Average",3:55.0952380952381:55.9523809523809:64.5238095238095:58.4523809523809:59.9047619047619:98.6904761904762
"Antigua and Barbuda",4:52:44:50:55:50:99
Bahamas,4:55:41:53:62:54:96
Barbados,4:47:40:59:64:57:100
Belize,4:46:31:38:58:45:75
Canada,4:79:62:76:75:84:99
"Costa Rica",4:54:36:58:64:63:96
Cuba,4:45:41:43:39:33:100
"Dominican Republic",4:42:28:35:41:41:89
"El Salvador",4:40:27:33:38:45:84
Grenada,4:40:38:49:60:39:96
Guatemala,4:39:24:34:31:36:75
Haiti,4:5:14:11:26:9:62
Honduras,4:28:19:39:41:33:84
Jamaica,4:34:38:46:54:44:86
Mexico,4:43:25:44:40:35:93
Nicaragua,4:31:18:37:40:32:78
Panama,4:57:25:52:53:60:94
"Trinidad and Tobago",4:53:34:47:50:45:99
"United States",4:66:49:75:63:77:99
"North America Average",4:45.0526315789474:33.3684210526316:46.2631578947368:50.2105263157895:46.4210526315789:89.6842105263158
Australia,5:74:64:73:69:85:99
Fiji,5:30:23:69:27:24:94
Micronesia,5:30:25:38:65:36:92
"New Zealand",5:61:63:78:73:90:99
"Papua New Guinea",5:34:12:30:35:32:60
Samoa,5:46:37:43:54:38:99
"Solomon Islands",5:21:17:36:35:23:77
"Ocenia Average",5:42.2857142857143:34.4285714285714:52.4285714285714:51.1428571428571:46.8571428571429:88.5714285714286
Argentina,6:59:37:65:57:65:98
Bolivia,6:35:12:38:30:30:91
Brazil,6:64:16:48:44:49:90
Chile,6:54:45:63:65:71:97
Colombia,6:60:16:29:29:26:93
Ecuador,6:41:23:35:39:29:87
Guyana,6:39:29:40:45:41:99
Paraguay,6:44:17:52:38:36:95
Peru,6:54:20:41:40:36:90
Suriname,6:34:25:47:43:39:93
Uruguay,6:62:54:64:73:68:99
Venezuela,6:41:28:43:28:32:95
"South America Average",6:48.9166666666667:26.8333333333333:47.0833333333333:44.25:43.5:93.9166666666667
